School Name,District Name,School Type,Census Day Enrollment,American Indian or Alaska Native #,Asian #,Black or African American #,Filipino #,Hispanic or Latino #,Native Hawaiian or Pac Islander #,Two or More Races #,None Reported # (School),White #,Free/Reduced Meals %,Suspension Rate,Chronic Absenteeism %,Chronic Absenteeism #,CAASPP-Math Standard Exceeded or Met (Levels 3 and 4),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4)
Achieve Academy,Oakland Unified,Elementary,638,1,13,17,10,576,2,3,0,16,89.8,1.5,9.6,64,31.63,25.31
ACORN Woodland Elementary,Oakland Unified,Elementary,286,0,3,18,0,256,0,1,2,6,92,0,21,61,42.86,41.3
Alameda Community Learning Center,Alameda Unified,K-12 Schools (Public),351,0,72,27,20,47,0,33,29,123,26.5,3.5,11.3,41,58.6,75
Alameda County Community,Alameda County Office of Education,County Community,133,1,1,42,1,75,0,5,0,8,85.7,1.5,75.3,207,0,7.14
Alameda High,Alameda Unified,High School,1767,2,678,89,108,223,10,109,9,539,21,2.3,8,145,61.75,83.33
Alameda Science and Technology Institute,Alameda Unified,Alternative,192,0,91,9,17,18,2,9,2,44,28.7,0.5,5.7,11,89.58,97.92
Albany High,Albany City Unified,High School,1168,1,356,37,16,193,4,128,16,417,18.3,0.9,8,94,70.75,80.84
Albany Middle,Albany City Unified,Middle,862,0,231,26,8,152,2,129,30,284,22,5.2,4.8,42,70.94,78.55
Alisal Elementary,Pleasanton Unified,Elementary,644,2,257,4,14,70,0,41,2,254,8.2,0.4,1.9,13,69.92,72.19
Allendale Elementary,Oakland Unified,Elementary,401,2,51,115,11,185,7,14,1,15,83,0.6,44.6,191,11.3,10.23
Alliance Academy,Oakland Unified,Middle,287,1,9,47,1,216,7,2,1,3,95.1,8.7,38.7,126,7.36,18.48
Altamont Creek Elementary,Livermore Valley Joint Unified,Elementary,585,5,120,10,14,123,1,48,0,264,17.1,0.3,2.3,13,62.98,66.92
Alternatives in Action,Alameda Unified,High School,202,1,0,12,0,168,0,2,17,2,94.6,9,41.4,84,0,3.7
Alvarado Elementary,New Haven Unified,Elementary,726,4,168,31,264,162,9,44,1,43,48.8,0.3,51.6,393,56.87,59.4
Amador Valley High,Pleasanton Unified,High School,2713,3,1078,29,61,222,4,103,1,1212,7.5,3.1,4.1,113,70.02,80.67
Amelia Earhart Elementary,Alameda Unified,Elementary,651,1,226,17,37,84,1,103,23,159,11.7,1,3.3,22,86.88,83.99
American High,Fremont Unified,High School,2448,5,1508,76,234,200,12,87,0,326,20.1,3.6,6.2,154,70.26,88.68
American Indian Public Charter,Oakland Unified,Junior High,161,0,91,38,2,18,0,2,0,10,73.9,3.5,2.4,4,66.01,47.44
American Indian Public Charter II,Oakland Unified,Elementary,794,3,376,266,4,90,3,10,2,40,75.6,3.5,5.6,45,73.13,62.59
American Indian Public High,Oakland Unified,High School,411,2,222,95,5,62,1,1,0,23,70.6,5.1,14,58,62.96,59.32
Andrew N. Christensen Middle,Livermore Valley Joint Unified,Middle,715,2,83,16,23,172,3,66,0,350,19.4,4.8,0,0,50,68.24
Anna Yates Elementary,Emery Unified,Elementary,534,1,55,232,10,130,7,48,0,51,79.8,2.7,21.8,119,23.29,36.14
Anthony W. Ochoa Middle,Hayward Unified,Middle,588,2,48,53,74,340,23,26,1,21,66.7,9.9,11.5,69,33.69,39.35
Ardenwood Elementary,Fremont Unified,Elementary,963,0,734,14,48,53,4,20,5,85,10.6,0.3,3.2,32,84.21,85.29
ARISE High,Oakland Unified,High School,317,2,4,6,8,292,0,3,2,0,71.6,4.8,20.8,68,7.81,66.67
Arroyo High,San Lorenzo Unified,High School,1819,7,351,127,207,859,25,42,6,195,49,4.4,10.7,196,35.48,59.47
Arroyo Seco Elementary,Livermore Valley Joint Unified,Elementary,678,0,46,15,16,216,0,69,2,314,23.3,1.6,4.1,27,48.65,59.46
ASCEND,Oakland Unified,Elementary,486,1,5,14,2,455,0,4,0,5,84.6,1.8,4.9,24,34.08,36.33
Aspire Berkley Maynard Academy,Oakland Unified,Elementary,587,0,11,330,3,184,0,24,7,28,69.4,3.6,17.6,105,37.32,44.61
Aspire College Academy,Oakland Unified,Elementary,286,1,0,77,0,188,1,5,14,0,86.3,2.1,9.1,26,26.92,20
Aspire ERES Academy,Oakland Unified,Elementary,237,0,0,12,2,215,0,3,5,0,95.7,2.7,16.5,41,22.44,35.26
Aspire Golden State College Preparatory Academy,Oakland Unified,K-12 Schools (Public),618,1,2,101,1,510,0,1,1,1,89,11.8,12.3,77,18.28,37.09
Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,K-12 Schools (Public),525,0,2,23,0,493,3,0,4,0,83.4,15.4,5.2,28,25,36.72
Aspire Monarch Academy,Oakland Unified,Elementary,418,0,1,12,1,399,3,2,0,0,90.2,1.6,11.3,48,48.99,42.93
Aspire Triumph Technology Academy,Oakland Unified,Elementary,284,0,4,171,1,97,0,0,10,1,95.4,5.9,25.7,78,23.65,30.82
August Schilling Elementary,Newark Unified,Elementary,378,1,18,5,26,304,4,12,0,8,74.8,1.4,6.7,27,22.48,31.94
Aurum Preparatory Academy,Alameda County Office of Education,Junior High,91,0,0,45,0,46,0,0,0,0,89,14.9,30.9,30,11.54,12.2
Bancroft Middle,San Leandro Unified,Middle,1055,7,66,197,45,578,12,45,7,98,66.5,12.2,13.6,147,19,33.73
Bay Area Technology,Oakland Unified,K-12 Schools (Public),299,3,7,108,2,159,2,3,1,14,53.5,10.6,14.4,46,11.38,22.42
Bay Elementary,San Lorenzo Unified,Elementary,493,2,101,18,37,247,6,33,1,48,51.7,0.6,10.6,54,40.37,41.2
Bay Farm,Alameda Unified,Elementary,610,1,207,19,26,69,1,114,12,161,9.8,1.1,2.6,16,76.53,80.85
Beach Elementary,Piedmont City Unified,Elementary,276,0,38,7,1,27,0,65,0,138,2.9,0,3.9,11,91.91,88.24
Bella Vista Elementary,Oakland Unified,Elementary,469,5,211,102,7,99,2,22,5,16,79.3,0.6,24.9,123,40.82,29.69
Berkeley Arts Magnet at Whittier,Berkeley Unified,Elementary,425,0,47,47,6,67,0,70,0,188,30.4,0,7.7,34,70.19,71.98
Berkeley High,Berkeley Unified,High School,3154,6,251,430,24,698,9,411,1,1324,26.1,1.9,10.1,326,52.12,75.28
Birch Grove Intermediate,Newark Unified,Elementary,438,2,96,22,60,165,7,21,5,60,41.3,2.6,3.3,15,55.78,54.2
Bohannon Middle,San Lorenzo Unified,Middle,785,4,70,54,46,524,14,7,6,60,66.5,7.1,9.8,78,17.77,27.13
Bowman Elementary,Hayward Unified,Elementary,301,2,31,26,13,200,10,8,0,11,76.1,5.2,14.8,49,13.42,28.17
Brenkwitz High,Hayward Unified,Continuation,161,0,1,19,3,112,7,6,0,13,71.4,4.7,87.5,273,0,5.62
